id_client,ville_client,prenom_client,nom_client,email_client,gender_client,telephone_client,iban_client,abonnement_client,id_fournisseur,ville_fournisseur,nom_fournisseur,slogan_fournisseur,devise_fournisseur,email_fournisseur,iban_fournisseur,telephone_fournisseur,id_produit,couleur_produit,prix_produit,label_produit,id_commande,date_commande
36,Yicheng,Larry,Richardson,lrichardsonz@ftc.gov,,86-(474)550-2603,SK83 7496 7811 3762 0212 7101,true,3288,Xinbu,Bubbletube,generate clicks-and-mortar e-business,,lrichardsonz@mac.com,GI86 PPES YANU 7KBY HPEI JZS,86-(284)390-6257,900000036,Khaki,,ut,36,22/7/2013
37,Lindong,Donna,Grant,,Female,86-(844)915-9061,,true,2792,Liberta,Buzzbean,synergize virtual vortals,CNY,dgrant10@cam.ac.uk,FR75 8669 4150 08II 1NEL S3BG M90,1-(671)632-4737,900000037,Puce,3121.80,in faucibus,37,31/12/2015
38,Rybnik,,Richardson,,,48-(810)707-0142,PT35 6312 5599 4855 4302 6314 0,true,1539,Bastan,Aimbu,redefine integrated methodologies,PLN,krichardson11@blogs.com,FR55 1169 7817 6249 AM05 XHII C08,7-(257)225-7700,900000038,Red,1727.68,odio elementum,38,9/8/2012
39,Wentai,Aaron,Fowler,afowler12@disqus.com,Male,86-(798)662-2234,FO71 7901 3613 0753 39,true,2019,Targanice,Oloo,expedite turn-key schemas,,,FI02 9327 8167 1685 74,48-(910)383-1424,900000039,Puce,3122.24,a,39,25/2/2015
40,Halle,William,Payne,wpayne13@engadget.com,Male,49-(818)621-3229,,false,4617,Jambeyan,Wikizz,exploit seamless functionalities,EUR,wpayne13@newsvine.com,,,900000040,Goldenrod,4382.63,curabitur,40,7/9/2011
41,Čačinci,Elizabeth,Reynolds,ereynolds14@bloglines.com,Female,385-(398)284-1092,SI28 3384 4453 6864 964,true,4900,Smilavichy,Blogtag,,HRK,ereynolds14@stanford.edu,MC51 3605 1037 87GP R6QC JQQY I75,375-(950)628-0486,900000041,Crimson,42.08,sapien,41,28/5/2011
42,Dami,Nancy,Fowler,nfowler15@howstuffworks.com,Female,62-(872)652-7568,LV67 QYXE XYD5 P8NR AGHO A,true,3102,,Geba,utilize 24/365 web-readiness,IDR,nfowler15@ehow.com,DK43 3177 7121 9978 73,255-(928)765-5962,900000042,Green,1268.36,,42,21/12/2011
43,Sirnaresmi,Fred,Reed,,Male,62-(744)557-6548,RS80 9122 6234 1991 2862 61,,1352,Tianta,Voomm,,IDR,freed16@blinklist.com,KW64 MOEY 9QJY EMXG YBQJ LP3U X2FL VH,86-(655)226-7719,900000043,Blue,4402.62,porta volutpat,43,16/3/2015
44,Oslo,Ronald,Nichols,rnichols17@purevolume.com,Male,47-(112)905-4508,FR45 5259 7958 00CX S7TZ 42GX T36,,1502,Xingang,Jatri,,NOK,rnichols17@shareasale.com,SE12 9408 1918 0081 9157 2049,,900000044,Yellow,,volutpat convallis,44,29/5/2016
45,Tadou,Helen,Jenkins,hjenkins18@printfriendly.com,Female,86-(808)900-9432,IL78 4168 3036 8342 0077 198,,2787,Tandzut,Skidoo,incubate turn-key functionalities,CNY,hjenkins18@cam.ac.uk,DO13 SL6K 0506 6027 1668 0375 7246,374-(856)971-1560,900000045,Orange,,morbi,45,15/5/2016
46,Calvinia,Deborah,Snyder,,Female,,CY67 9516 9413 VETE NULF ZF0W ZNN8,false,2298,Villaba,Reallinks,exploit cross-media paradigms,ZAR,dsnyder19@goodreads.com,IL40 1750 0223 1454 2293 026,,900000046,Orange,3438.68,felis donec,46,6/10/2011
47,Masinloc,,Carr,jcarr1a@jigsy.com,Male,63-(870)894-0406,MC97 0996 2837 96QO TIXN JY4E N19,false,3060,Waihibar,Ailane,expedite rich solutions,,fcarr1a@csmonitor.com,,62-(922)101-9335,900000047,Orange,503.47,suspendisse,47,17/4/2012
48,Trakan Phut Phon,,Ruiz,aruiz1b@hexun.com,Female,66-(349)433-2673,MR52 1421 8786 7539 5650 4314 592,false,761,Fukura,Oyondu,,THB,pruiz1b@cpanel.net,,81-(126)630-5507,900000048,Pink,3439.55,imperdiet,48,3/5/2011
49,Bonanza,Jimmy,Jones,,Male,505-(703)174-3738,,false,36,Samokov,Kazu,integrate intuitive synergies,,,NL67 RLJL 3582 1825 99,359-(393)469-7371,900000049,Purple,3532.12,praesent id,49,4/2/2014
50,Chinchero,,Rogers,,Male,51-(357)112-3348,BE31 2136 3455 3495,,1776,Pondokkaha Kelod,Katz,enhance end-to-end action-items,PEN,,HR69 2200 9136 8974 9749 0,62-(242)293-8435,900000050,Pink,76.44,sapien varius,50,13/2/2016
51,Orléans,Douglas,Wood,dwood1e@theglobeandmail.com,Male,33-(218)917-7821,BA05 4885 4631 6760 2128,,1540,Aco,Linktype,,,dwood1e@cornell.edu,BE16 1355 7885 1742,51-(742)420-9857,900000051,,3235.47,amet,51,21/6/2013
52,Caçador,Carlos,Dixon,cdixon1f@dedecms.com,Male,55-(987)494-7451,,true,3404,Nguluhan,Flashdog,unleash efficient initiatives,,cdixon1f@xrea.com,TR28 0948 9ABA DOBV ISWB CHK6 GA,62-(669)253-5844,900000052,,3939.67,vulputate,52,5/11/2016
53,Esik,Brian,Turner,bturner1g@studiopress.com,Male,,LB46 7779 X3WC 0MRX VCDM ZN7T SFNE,true,146,Al Mashāf,Rhynoodle,engineer collaborative solutions,KZT,,BA20 7204 7011 4709 7728,967-(594)595-8886,900000053,Maroon,3158.64,proin leo,53,26/4/2012
54,Bendilmuning,Mary,Dixon,mdixon1h@businesswire.com,Female,62-(559)386-8327,,true,2231,Bairro de Santo António,Rhyzio,recontextualize back-end e-markets,IDR,mdixon1h@last.fm,SK58 1038 1315 8409 7851 3961,351-(847)245-9845,900000054,Green,430.65,nulla,54,19/3/2015
55,Kivijärvi,,George,,Female,358-(286)359-6381,GR83 6120 6022 QYQA KLPN ICE0 QE9,,1823,Molchanovo,Rhycero,,EUR,cgeorge1i@ft.com,EE76 2515 8520 2727 3090,7-(447)440-5849,900000055,Crimson,1008.58,in,55,30/6/2014
56,Varėna,Kenneth,Schmidt,kschmidt1j@w3.org,Male,370-(309)402-4683,AL18 4422 8785 6GR2 V6AT KYVG NCH8,false,4238,Chakari,Thoughtworks,,LTL,kschmidt1j@uiuc.edu,HU55 9150 2834 3182 4046 9463 0150,263-(816)148-5552,900000056,Teal,3562.73,posuere cubilia,56,25/2/2014
57,Az̧ Z̧a‘āyin,Howard,Jackson,,,974-(845)786-8813,ES91 2720 9553 4741 4454 8954,false,1137,Dmitriyevskoye,Voomm,repurpose cutting-edge infrastructures,QAR,,LB95 5110 ZOLD PDJC OY3H 0CPJ VBXH,7-(359)823-6108,900000057,Goldenrod,396.43,vulputate ut,57,19/11/2011
58,Neftegorsk,Harry,Tucker,htucker1l@yelp.com,Male,7-(281)820-9793,AZ90 CXWH ZUWY WVTX CYSX NTKY 8SYR,true,3888,Dakingari,Einti,,RUB,htucker1l@europa.eu,,234-(219)791-7429,900000058,Indigo,140.92,in,58,16/6/2015
59,Vila Franca de Xira,John,Lane,,,351-(475)558-6556,CR98 3975 9928 0949 1715 0,true,154,Yanqul,Teklist,utilize out-of-the-box deliverables,,,RS02 4651 5514 2268 4905 43,,900000059,Pink,654.58,porttitor,59,12/7/2012
60,Xazgat,Edward,Riley,eriley1n@bloglovin.com,,,HU78 0950 4499 2469 7893 9874 5736,true,1392,Ondores,Skynoodle,,CNY,eriley1n@imdb.com,AD49 8365 1421 STSK SNNQ LBAL,51-(246)454-1100,900000060,Violet,3907.74,integer non,60,15/7/2014
61,Tiwi,Jose,Morgan,jmorgan1o@dailymotion.com,,63-(899)196-7019,IL24 9322 1587 0469 5288 835,true,935,Retorta,Blognation,,PHP,jmorgan1o@wikipedia.org,AZ14 CAWL MKMS HYBI L0DN OIEP JHHK,,900000061,Turquoise,3742.08,rutrum at,61,5/2/2014
62,Chonghe,Jose,Garza,jgarza1p@wsj.com,Male,86-(622)905-4224,FR25 4687 1654 08F9 X5NZ ILX1 M47,false,2147,Rochester,Cogilith,revolutionize compelling markets,CNY,jgarza1p@paypal.com,FR19 8966 6474 09HH VQJX 4E2A A27,1-(585)921-4452,900000062,Maroon,434.01,lacus,62,6/9/2016
63,Bhātpāra Abhaynagar,Gregory,Kelly,,Male,880-(408)432-8067,PL27 8534 6361 9903 7928 3255 0340,true,3979,Gunjur,Shuffletag,,BDT,,FR46 7520 6109 00AM WDQE 65OP K56,,900000063,Pink,387.77,pellentesque viverra,63,21/4/2016
64,Pedro Miguel,Mark,Diaz,mdiaz1r@reverbnation.com,Male,351-(432)838-4949,,true,2784,Xinglongjie,Browseblab,benchmark impactful partnerships,EUR,mdiaz1r@tripod.com,,86-(869)654-4884,900000064,,1637.98,ligula in,64,7/2/2013
65,Basel,Helen,Sanchez,hsanchez1s@delicious.com,Female,41-(872)645-3405,AD92 2517 4529 GEN2 SEO3 CTQI,false,1152,Šardice,Rhycero,morph magnetic metrics,CHF,hsanchez1s@dyndns.org,LI54 7999 6BQW 9FAQ IBRL 1,,900000065,Crimson,2911.24,ac,65,10/3/2013
66,Volovets,Arthur,Grant,agrant1t@china.com.cn,Male,380-(847)278-3631,,false,271,Skene,Mynte,,UAH,agrant1t@archive.org,BH44 JMXM U1NW IQJR TSX8 OG,46-(979)390-1423,900000066,Orange,4207.84,aliquet maecenas,66,15/9/2011
67,Zabukovica,Bruce,Bennett,bbennett1u@networkadvertising.org,Male,386-(411)258-5903,,false,87,La Motte-Servolex,Brainlounge,,EUR,bbennett1u@a8.net,,33-(334)291-3558,900000067,,3241.54,at nibh,67,1/11/2012
68,Pingxi,Sandra,Long,slong1v@vimeo.com,Female,86-(662)505-6125,AT80 9205 0839 6715 5238,true,3921,Funan Chengguanzhen,Devpoint,grow synergistic bandwidth,CNY,slong1v@smugmug.com,PT05 6985 1400 8884 6307 3634 0,86-(937)379-7519,900000068,,4658.30,morbi,68,6/12/2014
69,Troyan,Alan,Medina,,Male,359-(758)803-0148,BE80 3354 1271 0435,,3493,Madruga,Zava,,,amedina1w@altervista.org,AD36 6483 9746 RDJ5 KRKR ST5Z,53-(766)453-9852,900000069,Indigo,1193.53,leo,69,5/11/2011
70,Arrentela,Kimberly,Gordon,kgordon1x@oaic.gov.au,,351-(278)693-9032,AT63 7218 2999 9732 2788,,2434,Beishan,Yodoo,utilize global methodologies,EUR,kgordon1x@oaic.gov.au,GE57 LI63 5196 3962 9988 37,86-(479)811-5458,900000070,Blue,1489.97,id luctus,70,25/7/2011
71,Xianlong,Timothy,Oliver,toliver1y@rakuten.co.jp,Male,,FR58 1818 2093 64TE OHAK BN8D G70,,227,Caocun,Omba,cultivate synergistic e-markets,CNY,toliver1y@google.ca,KW02 BDAD JZ1O 0BMD P6GY HPKT EROA T6,86-(496)607-5347,900000071,Blue,315.36,sit,71,28/7/2012
72,San Bartolomé Milpas Altas,Bruce,Harvey,bharvey1z@constantcontact.com,Male,,FR51 0943 5580 80GW I1B6 4SKE P16,true,1745,Zhanping,Zazio,,GTQ,bharvey1z@google.com.hk,AL31 9882 0471 MUIQ IBRA 9UDM XCJU,86-(248)365-3228,900000072,Turquoise,886.07,justo lacinia,72,20/9/2011
73,Al Qurḩ,Cynthia,Johnson,cjohnson20@wikimedia.org,Female,,MR60 0617 9959 6477 2772 3728 316,true,3002,Manamrag,Realcube,,YER,cjohnson20@japanpost.jp,IT23 Y388 6479 526C P7LX 0GZ2 5MV,63-(898)498-6226,900000073,Purple,1899.09,lacus,73,6/8/2011
74,Doksy,Timothy,Jenkins,tjenkins21@arizona.edu,Male,420-(857)289-9895,FR09 1268 0440 90OP NEDP CICA Y62,false,2938,Moss,Jaxnation,streamline collaborative architectures,,tjenkins21@cbsnews.com,FR87 5814 3156 60C6 ZCEZ HIUT O08,47-(712)516-4148,900000074,Goldenrod,2541.45,dictumst morbi,74,29/4/2012
75,Ica,Raymond,Black,,Male,51-(753)246-0117,,,2166,Vyaz’ma,Meembee,facilitate bleeding-edge systems,PEN,,,7-(498)679-1861,900000075,,3385.45,et ultrices,75,28/9/2012
76,Ithari,Julie,Barnes,,Female,977-(779)178-1417,ME88 0218 4423 4860 6570 90,,1839,Ananindeua,Twimm,productize ubiquitous deliverables,NPR,jbarnes23@arizona.edu,,55-(715)614-6663,900000076,Red,3514.83,turpis elementum,76,3/6/2015
77,Shimokizukuri,Antonio,Roberts,aroberts24@mapy.cz,Male,81-(834)429-5449,PL25 1909 2658 3953 6287 4355 7550,true,777,Ksawerów,Dynava,embrace collaborative initiatives,JPY,aroberts24@lulu.com,KZ94 400G MSXO M8FN VTBW,48-(753)877-4548,900000077,,,morbi quis,77,3/12/2013
78,Oslo,Michael,Freeman,mfreeman25@unesco.org,Male,47-(222)978-1316,LV97 LTMH A9QB V5AJ 33EL O,,2617,‘Awaj,Gabtune,recontextualize killer systems,,mfreeman25@google.nl,FR05 4578 0097 13PY MXWK WVQN E50,963-(793)446-1310,900000078,,560.99,odio,78,13/12/2013
79,São Bento,,Freeman,tfreeman26@google.com.au,Female,351-(967)765-2257,AL68 1651 2832 KKAK P5BR NBUE O94X,true,3590,Thị Xã Lai Châu,Gabtype,,EUR,lfreeman26@state.gov,FO33 8862 3250 6758 31,84-(935)535-9808,900000079,,2668.39,justo,79,3/12/2013
80,Cincinnati,Elizabeth,Griffin,egriffin27@behance.net,Female,1-(513)963-8342,VG12 XEEI 2895 1702 1654 2124,true,1242,Dobrica,Avaveo,,USD,egriffin27@xing.com,SK36 6289 5550 0427 4431 1292,381-(431)580-4512,900000080,Orange,,porta,80,28/7/2015
81,Bisée,Chris,Owens,cowens28@virginia.edu,Male,,FO25 1858 5333 4575 60,false,1149,Toulon,Voonix,,XCD,cowens28@geocities.com,,33-(104)215-9752,900000081,Mauv,3893.98,bibendum,81,6/10/2014
82,Jataí,Gregory,Myers,gmyers29@mlb.com,,55-(394)508-3195,FR96 3051 6030 06F3 LEKK 5CXV T02,true,2698,Taoyuan,Jaxnation,,BRL,gmyers29@naver.com,DO80 TYOO 5672 9662 1614 4644 7856,,900000082,Crimson,4309.20,aliquam lacus,82,9/11/2013
83,Tebon,Elizabeth,Thompson,ethompson2a@rambler.ru,Female,62-(149)529-3323,FR66 1384 8508 242S GVXG NZN1 G43,,2684,Tangub,Zoombeat,innovate cross-media mindshare,IDR,ethompson2a@eventbrite.com,HU02 7126 8881 1674 9425 6710 7325,63-(562)665-9954,900000083,Turquoise,,congue,83,7/2/2015
84,Grand Bois,,Shaw,,Female,230-(252)307-8015,,true,4215,Ranchuelo,Mydeo,,MUR,ashaw2b@google.cn,NO36 8358 8759 798,53-(671)594-6337,900000084,Red,4633.41,ut,84,25/4/2012
85,Pengwan,Joyce,Brooks,jbrooks2c@wisc.edu,Female,86-(784)730-7963,,true,1,Tomilino,Kayveo,syndicate leading-edge technologies,,jbrooks2c@nasa.gov,FR09 6229 5855 76CL PRQM UJ05 O54,7-(866)900-2223,900000085,Orange,,interdum,85,20/1/2012
86,Waepau,Keith,Williams,kwilliams2d@tamu.edu,,62-(848)381-8037,GT20 QNHF X0NE ROBY JA8W PSRV CKSF,true,378,Xinbu,Blogpad,recontextualize integrated users,IDR,kwilliams2d@netlog.com,,86-(858)456-6633,900000086,,,in ante,86,22/11/2016
87,Pyongyang,Ronald,Sanchez,rsanchez2e@wp.com,Male,850-(969)161-0181,RO76 HEFH LPWK P2SA UZPX MTCT,,2520,Resende,Yabox,,KPW,rsanchez2e@imageshack.us,DE07 4563 5171 6622 3573 29,55-(449)193-9066,900000087,Fuscia,948.70,ligula pellentesque,87,4/6/2015
88,Ashford,Benjamin,Garza,bgarza2f@dmoz.org,Male,353-(598)478-4150,BE38 4243 3982 7118,,3393,Santa Marta,Demimbu,,EUR,bgarza2f@bluehost.com,FR14 5569 1526 97RZ WQGJ R7Z6 S38,507-(873)202-5371,900000088,Violet,3213.36,venenatis lacinia,88,6/11/2013
89,Cihaur,Sara,Thomas,,Female,62-(944)512-2485,AZ02 TXEP AAJI L6C3 3IPR DJVR NOK9,true,742,Daytona Beach,Wikibox,enhance leading-edge niches,IDR,sthomas2g@forbes.com,IT06 T790 4617 916L WXJJ TOAS 0FY,1-(386)427-5452,900000089,Puce,2343.12,aliquam augue,89,26/2/2014
90,Oncativo,Willie,Boyd,wboyd2h@goo.gl,Male,54-(655)278-4840,,,231,Prengtale,Izio,,ARS,,GE59 BR00 3303 5796 5413 11,62-(431)186-3463,900000090,,2453.76,ultrices,90,25/11/2011
91,Jaguaquara,Craig,Cook,ccook2i@theatlantic.com,Male,55-(275)191-5422,,,2173,Jing’an,Shufflebeat,,BRL,ccook2i@cargocollective.com,SA82 92TP EAGM AEMX 3BHP GK0J,86-(230)309-8997,900000091,Puce,3187.98,nec,91,1/4/2011
92,Dazhan,George,Ramirez,gramirez2j@bandcamp.com,Male,,IE62 KSTE 7694 7705 3197 65,,3135,Stockholm,Wikido,utilize global functionalities,CNY,gramirez2j@elpais.com,LV41 QCJL CIN2 PPBX E9FC 5,,900000092,Green,2276.65,tempus vel,92,19/10/2012
